vowel,F1,F2,filename
i,338.5430643421124,2474.1299826261584,i_279.wav
i,330.90106453087355,2355.6269284775426,i_280.wav
i,338.9214180539849,2510.6404404027985,i_281.wav
i,405.16666532419856,2495.0584084390107,i_282.wav
ə,551.6897300090142,2007.971967778604,ə_283.wav
a,968.51571042108,1753.633942079733,a_284.wav
ə,515.9197259458646,2027.31219538428,ə_285.wav
a,932.3303051162104,1791.4355189482426,a_286.wav
ə,560.8335493132244,2040.8637572294365,ə_287.wav
a,852.2030455744723,1894.4755567827888,a_288.wav
ə,386.9702843128768,2008.4761507368391,ə_289.wav
a,1016.6915436289762,1866.3413232467503,a_290.wav
ə,526.4938898792185,1994.3112862933,ə_291.wav
a,877.304037374944,1751.2179509941327,a_292.wav
ə,530.7262667308346,1973.4131546330912,ə_293.wav
a,922.9800729843936,1789.883404114249,a_294.wav
u,507.9791489116506,838.763447340737,u_295.wav
u,509.7532765485056,837.2704439446401,u_296.wav
u,462.9793111114922,748.7047304399655,u_297.wav
i,384.7889923941064,2197.509698048311,i_298.wav
i,482.4359764280199,2120.544605239101,i_299.wav
i,461.193709889638,2184.075544713495,i_300.wav
i,440.55953170582336,2250.331178714942,i_301.wav
i,403.36534843048565,2344.750828692572,i_302.wav
i,391.1695901999659,2245.7616327172987,i_303.wav
ə,480.4717860970264,2049.566234215088,ə_304.wav
ə,431.4141701905897,2038.8653471794264,ə_305.wav
ə,530.5602164311204,2190.159390975724,ə_306.wav
ə,518.7016136811302,2134.724051323478,ə_307.wav
ə,564.7642164277089,1867.9363700482857,ə_308.wav
e,579.1086181067514,2151.560504345704,e_309.wav
e,664.2263331143317,2226.994895486333,e_310.wav
e,700.1789246238556,2224.8173015278257,e_311.wav
a,1127.855763581897,1779.6701663637637,a_312.wav
a,1071.2100102577986,1652.436986328781,a_313.wav
a,1062.014237900235,1793.2070326167975,a_314.wav
a,1192.4242929897212,1808.2708136525653,a_315.wav
a,1131.9850428174757,1913.670863095182,a_316.wav
a,1033.8761021243558,1785.732835342009,a_317.wav
a,1159.897367213329,1823.2183345958472,a_318.wav
a,1111.5203516821616,1789.5041082623711,a_319.wav
a,1003.2725367139892,1758.8139610836974,a_320.wav
o,541.796424867912,1183.4660525269717,o_321.wav
ə,674.9349537288077,1726.5341991380694,ə_322.wav
o,545.1847782560728,1081.4917355756036,o_323.wav
ə,691.8262225017885,1796.690699974327,ə_324.wav
o,627.7439505575512,1306.987987802853,o_325.wav
ə,634.0210155706046,1799.9251475951614,ə_326.wav
i,394.9030622655183,2675.417825797561,i_327.wav
i,318.2041669867231,2654.854736415161,i_328.wav
i,401.1192906661077,2517.1529447299786,i_329.wav
e,466.8258463387279,2075.500974710814,e_330.wav
e,488.5604168332056,1912.848172396076,e_331.wav
e,505.8078493373384,1992.67542480719,e_332.wav
e,742.4726456479374,2119.8300009023137,e_333.wav
e,562.8358651821341,2107.8099316618504,e_334.wav
e,617.3026031774348,2107.6055540977304,e_335.wav
e,621.9095380621532,2214.5731114864525,e_336.wav
e,646.5658586001235,2071.2299909735,e_337.wav
e,635.8439794529735,2047.163478673672,e_338.wav
i,360.4384560128265,2385.828955859304,i_339.wav
i,393.0825346074413,2568.28536315344,i_340.wav
i,398.71785128129767,2436.650435497343,i_341.wav
a,990.5976816584327,1599.1797223085323,a_342.wav
a,977.6326455051428,1631.977282716936,a_343.wav
o,446.9920865436141,905.3948323338636,o_344.wav
o,441.6927520199485,895.033491335404,o_345.wav
o,502.2858218357691,1014.1904593957568,o_346.wav
o,655.4598850837348,1075.872974949864,o_347.wav
o,554.1137930495,1041.1166073059674,o_348.wav
o,741.3748518099793,1098.6516790626997,o_349.wav
o,663.3961185283761,1004.5993959557233,o_350.wav
o,691.4501867255848,1200.4849649704115,o_351.wav
o,629.0357719464699,1393.7649169644644,o_352.wav
o,484.3659949030824,1190.9575873036445,o_353.wav
o,650.4378016845204,1143.1359315556483,o_354.wav
o,545.8971832411901,918.0934047690358,o_355.wav
o,614.1542498126809,940.3002672072648,o_356.wav
o,497.89902361290746,1076.871965936447,o_357.wav
o,710.4536861743616,1034.4599123281084,o_358.wav
o,701.6620323435392,1223.6526447139652,o_359.wav
o,502.4297301555981,1009.198836275984,o_360.wav
e,617.2328068585622,2399.349170619903,e_361.wav
u,411.8247813160226,936.0568427433374,u_362.wav
e,574.8428857219907,2324.427184685457,e_363.wav
u,413.5711310302512,1048.6408475039025,u_364.wav
e,678.8640356441136,2323.932057067849,e_365.wav
u,405.9861192857477,1100.7561903606363,u_366.wav
ə,371.52450741776977,2470.7977951665507,ə_367.wav
ə,340.28137644146983,2405.095096300796,ə_368.wav
ə,417.3099532751439,2373.2162759529697,ə_369.wav
a,818.7091689645827,1455.332645207323,a_370.wav
a,802.8155277591926,1442.0895865247478,a_371.wav
a,1004.3959063604354,1398.4976012771745,a_372.wav
a,830.7944955292078,1233.1680964368095,a_373.wav
a,748.3086575246856,1365.557669195119,a_374.wav
a,620.2089397751754,1140.7167308942094,a_375.wav
a,906.0899058513126,1266.2214108072133,a_376.wav
